"","X..","X.DateOccur.","X.Count.","X.Crime.","X.District.","X.Neighborhood.","X.XCoord.","X.YCoord."
"18406","""18406""","""05/12/2015 17:50""",1,229999,4,35,907616.8,1018654
"18407","""18407""","""05/12/2015 18:00""",1,229999,4,35,908223.8,1016086
"18408","""18408""","""05/12/2015 18:05""",1,152200,4,77,898774.8,1023655
"18409","""18409""","""05/12/2015 18:36""",1,63701,1,1,889468,994413.8
"18410","""18410""","""05/12/2015 18:39""",1,266999,2,13,881420.1,1010216
"18411","""18411""","""05/12/2015 18:45""",1,63701,2,10,877121.1,1013930
"18412","""18412""","""05/12/2015 18:50""",1,91113,6,79,904052.4,1037740
"18413","""18413""","""05/12/2015 18:50""",1,241100,1,5,886299.9,999815.4
"18414","""18414""","""05/12/2015 18:55""",1,265321,5,38,889297.8,1021908
"18415","""18415""","""05/12/2015 19:00""",1,65701,5,57,893260.9,1030491
"18416","""18416""","""05/12/2015 19:00""",1,69702,3,25,893862.4,1006503
"18417","""18417""","""05/12/2015 19:00""",1,51212,3,16,896026.4,1000339
"18418","""18418""","""05/12/2015 19:00""",1,64701,1,7,884042,1003727
"18419","""18419""","""05/12/2015 19:00""",1,64701,2,82,882843.8,1022114
"18420","""18420""","""05/12/2015 19:11""",1,250000,4,36,906857.6,1019492
"18421","""18421""","""05/12/2015 19:30""",1,183400,2,13,883866.2,1009590
"18422","""18422""","""05/12/2015 19:59""",1,229999,4,35,908223.8,1016086
"18423","""18423""","""05/12/2015 20:05""",1,115200,4,35,908732.9,1017197
"18424","""18424""","""05/12/2015 20:30""",1,63701,5,53,888036.9,1026405
"18425","""18425""","""05/12/2015 20:30""",1,64701,5,48,880535.6,1032584
"18426","""18426""","""05/12/2015 20:30""",1,65701,4,65,905770.1,1029126
"18427","""18427""","""05/12/2015 20:35""",1,142320,4,77,898649.3,1021198
"18428","""18428""","""05/12/2015 20:45""",1,182400,3,19,893513.3,1004053
"18429","""18429""","""05/12/2015 20:53""",1,265321,5,54,889805.1,1028774
