"","Precinct","Whitepop","Blackpop","Nativepop","Asianpop","Nativepacpop","Otherpop","Mixedpop","Totalpop","Malepop","Femalepop","Male1524","Male65Plus","Unplyrate","HisUnplyrate","WUnplyrate","HisWUnplyrate","HisBUnplyrate","HisAUnplyrate","BlwHSchlUnplyrate","AbBchlrUnplyrate","PvtyUnplyrate","X","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"52",81,4717,50092,394,1189,21,4423,1924,62760,28499,34262,4903,2198,10522,8815,2535,6324,11718,4100,15801,4126,27071,52,62722,2128,1068,47638,10474,1005,409,2453,28,2664,906,4423
"53",83,34399,28378,1534,4965,135,37700,6313,113423,56357,57065,10550,3352,16911,18489,7771,15535,21652,11829,19221,8011,39580,53,112634,9564,4776,22688,73616,1169,821,24619,177,5407,5099,38314
"54",84,39213,8102,182,6221,31,2408,2266,58424,28068,30358,3515,2335,4199,4105,2302,3039,7121,2614,8456,2040,15090,54,48196,30066,4451,5935,6078,1383,283,3231,68,535,494,1750
"55",88,20866,22938,250,3506,12,3131,2641,53347,24321,29026,3275,2079,6200,7783,3231,3612,9131,4289,9285,3299,18447,55,51421,15904,3341,21986,8093,1747,350,2865,52,1390,772,3014
"56",90,84163,10595,837,5951,74,16759,3929,122309,60227,62082,10358,3727,9821,13771,5678,8324,10682,4461,15569,3544,25263,56,116836,64467,5456,7294,37920,1205,494,15897,88,2680,2515,16740
"57",94,41662,1416,156,2884,31,3152,1472,50774,25283,25491,2809,1796,3308,3062,3143,3102,3156,2847,5858,2391,12655,57,56247,40844,3255,1688,9088,1007,365,4618,38,349,674,3409
"58",100,30287,14937,201,1409,19,3128,1365,51345,24340,27006,3368,3163,5332,4849,5684,4677,6989,6362,6236,2856,20187,58,47913,26793,1320,11609,7161,685,345,3102,27,1085,502,2445
"59",101,18801,33020,497,1217,63,7539,2496,63632,29674,33959,4935,3146,7634,6871,3756,5752,9397,7376,7643,4600,20118,59,67065,13666,1235,33054,16941,1265,904,5527,43,2209,1409,7753
"60",102,53173,14916,1854,32235,194,31084,11318,144777,71875,72898,11296,5721,15065,14071,13052,11997,21518,15362,16041,10069,41277,60,144008,28493,31299,12021,58767,6580,6848,25247,327,2883,4503,25807
"61",103,12900,45672,1443,18181,161,18047,7118,103520,49937,53585,8316,4171,16292,13250,11674,9558,18803,11274,13978,12080,40077,61,105803,2765,17579,45835,29343,4603,5678,9241,125,2400,2616,14961
"62",104,118709,4280,936,14658,88,25862,5425,169962,82989,86970,11103,8482,13837,14339,14612,13969,19593,6988,13018,8602,53370,62,170190,93378,13118,2368,58947,1639,740,26765,266,1952,3796,26168
