"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"886","30Q112",245,102,652,652,25,7,89,40,118,47,13,8,131,55,53.5,53.9,0,0
"887","30Q122",705,161,700,688,18,6,91,28,367,81,229,46,596,127,84.5,78.9,0,0
"888","30Q126",726,NA,634,NA,108,NA,368,NA,239,NA,11,NA,250,NA,34.4,NA,0,NA
"889","30Q127",395,90,660,649,21,5,123,35,231,48,20,2,251,50,63.5,55.6,0,0
"890","30Q141",1067,NA,652,NA,73,NA,428,NA,505,NA,61,NA,566,NA,53,NA,0,NA
"891","30Q145",1642,NA,640,NA,156,NA,863,NA,595,NA,28,NA,623,NA,37.9,NA,0,NA
"892","30Q148",468,164,660,657,21,6,142,53,290,97,15,8,305,105,65.2,64,0,0
"893","30Q149",406,179,656,644,37,19,143,73,214,84,12,3,226,87,55.7,48.6,0,0
"894","30Q150",548,163,674,674,21,4,100,39,357,88,70,32,427,120,77.9,73.6,0,0
"895","30Q151",282,102,644,637,49,16,102,47,124,37,7,2,131,39,46.5,38.2,0,0
"896","30Q152",437,146,668,661,14,6,107,51,278,73,38,16,316,89,72.3,61,0,0
"897","30Q166",442,155,670,667,22,9,71,28,310,97,39,21,349,118,79,76.1,0,0
"898","30Q171",302,108,646,641,38,10,131,55,126,40,7,3,133,43,44,39.8,0,0
"899","30Q204",942,NA,632,NA,153,NA,456,NA,315,NA,18,NA,333,NA,35.4,NA,0,NA
"900","30Q212",325,101,669,661,12,6,75,22,204,62,34,11,238,73,73.2,72.3,0,0
"901","30Q227",1461,143,668,686,76,1,350,12,882,98,153,32,1035,130,70.8,90.9,0,0
"902","30Q230",921,NA,653,NA,46,NA,382,NA,445,NA,48,NA,493,NA,53.5,NA,0,NA
"903","30Q234",200,72,664,667,11,1,52,19,128,48,9,4,137,52,68.5,72.2,0,0
"904","30Q235",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905","30Q580",170,NA,688,NA,1,NA,8,NA,130,NA,31,NA,161,NA,94.7,NA,0,NA
"906","31R001",253,83,677,679,1,0,44,10,182,60,26,13,208,73,82.2,88,0,0
"907","31R002",915,NA,647,NA,87,NA,387,NA,387,NA,54,NA,441,NA,48.2,NA,0,NA
"908","31R003",327,100,681,677,10,4,37,9,237,70,43,17,280,87,85.6,87,0,0
"909","31R004",363,120,671,675,20,2,63,18,251,84,29,16,280,100,77.1,83.3,0,0
"910","31R005",114,40,677,669,4,2,18,9,80,23,12,6,92,29,80.7,72.5,0,0
"911","31R006",429,133,667,667,29,6,92,32,276,79,32,16,308,95,71.8,71.4,0,0
"912","31R007",1242,NA,666,NA,62,NA,295,NA,738,NA,147,NA,885,NA,71.3,NA,0,NA
"913","31R008",264,90,673,661,30,12,36,14,160,56,38,8,198,64,75,71.1,0,0
"914","31R011",132,52,644,643,22,6,48,20,59,24,3,2,62,26,47,50,0,0
"915","31R013",349,120,663,660,20,6,103,33,198,72,28,9,226,81,64.8,67.5,0,0
"916","31R014",229,76,643,640,31,4,109,44,86,27,3,1,89,28,38.9,36.8,0,0
"917","31R016",384,126,646,644,52,11,140,51,180,60,12,4,192,64,50,50.8,0,0
"918","31R018",221,67,630,632,63,11,87,33,67,21,4,2,71,23,32.1,34.3,0,0
"919","31R019",232,74,665,664,17,2,54,18,145,47,16,7,161,54,69.4,73,0,0
"920","31R020",150,53,647,646,17,3,71,31,60,19,2,0,62,19,41.3,35.8,0,0
"921","31R021",183,75,653,652,18,6,60,25,98,39,7,5,105,44,57.4,58.7,0,0
"922","31R022",569,208,661,661,31,9,176,67,331,116,31,16,362,132,63.6,63.5,0,0
"923","31R023",263,92,680,676,19,5,33,15,162,52,49,20,211,72,80.2,78.3,0,0
"924","31R024",1545,NA,657,NA,85,NA,512,NA,839,NA,109,NA,948,NA,61.4,NA,0,NA
"925","31R026",88,32,642,647,16,4,27,11,38,10,7,7,45,17,51.1,53.1,0,0
"926","31R027",922,NA,640,NA,121,NA,421,NA,330,NA,50,NA,380,NA,41.2,NA,0,NA
"927","31R029",250,87,671,670,14,6,48,15,163,54,25,12,188,66,75.2,75.9,0,0
"928","31R030",382,123,684,681,16,8,54,15,237,66,75,34,312,100,81.7,81.3,0,0
"929","31R031",156,56,641,627,25,13,67,27,61,14,3,2,64,16,41,28.6,0,0
