"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"670","19K760","HIGHLAND PARK COMMUNITY SCHOOL",107,NA,275,NA,61,NA,41,NA,3,NA,2,NA,5,NA,4.7,NA,NA,NA
"671","20K030","PS/IS 30 MARY WHITE OVINGTON",393,NA,312,NA,84,NA,148,NA,97,NA,64,NA,161,NA,41,NA,-22.6,NA
"672","20K048","P.S. 048 MAPLETON",289,103,315,323,58,20,79,21,90,32,62,30,152,62,52.6,60.2,-39,-28.2
"673","20K062","J.H.S. 062 DITMAS",1068,NA,299,NA,366,NA,418,NA,193,NA,91,NA,284,NA,26.6,NA,-7.4,NA
"674","20K069","P.S. 69 VINCENT D. GRIPPO SCHOOL",448,141,326,329,52,18,85,25,161,60,150,38,311,98,69.4,69.5,-21.3,-19.7
"675","20K102","P.S. 102 THE BAYVIEW",658,209,323,325,98,42,166,48,176,45,218,74,394,119,59.9,56.9,-17.2,-18.2
"676","20K104","P.S./I.S. 104 THE FORT HAMILTON SCHOOL",826,130,321,328,104,14,260,29,255,49,207,38,462,87,55.9,66.9,-18.1,-5
"677","20K105","P.S. 105 THE BLYTHEBOURNE",883,288,333,344,62,14,187,42,260,89,374,143,634,232,71.8,80.6,-19.5,-8.5
"678","20K112","P.S. 112 LEFFERTS PARK",275,81,315,331,61,10,68,18,81,28,65,25,146,53,53.1,65.4,-37.3,-25.1
"679","20K127","P.S. 127 MCKINLEY PARK",252,78,312,315,47,15,76,25,77,22,52,16,129,38,51.2,48.7,-34.8,-38.5
"680","20K160","P.S. 160 WILLIAM T. SAMPSON",566,178,325,330,69,19,135,36,162,60,200,63,362,123,64,69.1,-23.1,-13.5
"681","20K163","P.S. 163 BATH BEACH",445,90,319,327,72,12,127,19,147,40,99,19,246,59,55.3,65.6,-24.5,-3.7
"682","20K164","P.S. 164 CAESAR RODNEY",212,69,309,310,44,19,81,22,54,19,33,9,87,28,41,40.6,-29.2,-18.9
"683","20K170","RALPH A. FABRIZIO SCHOOL",495,158,320,328,84,25,133,37,133,41,145,55,278,96,56.2,60.8,-25.8,-15.2
"684","20K176","P.S. 176 OVINGTON",753,235,332,336,85,30,144,34,201,71,323,100,524,171,69.6,72.8,-10.5,-2.5
"685","20K179","P.S. 179 KENSINGTON",398,129,294,295,158,61,131,32,76,27,33,9,109,36,27.4,27.9,-44.2,-39
"686","20K180","THE SEEALL ACADEMY",741,131,316,317,135,29,219,36,229,33,158,33,387,66,52.2,50.4,-25.3,-11.8
"687","20K185","P.S. 185 WALTER KASSENBROCK",350,131,320,325,43,18,107,31,112,49,88,33,200,82,57.1,62.6,-35.9,-32.3
"688","20K186","P.S. 186 DR. IRVING A GLADSTONE",470,134,321,327,72,19,134,32,128,42,136,41,264,83,56.2,61.9,-22.9,-17.8
"689","20K187","THE CHRISTA MCAULIFFE SCHOOL\I.S. 187",806,NA,371,NA,9,NA,11,NA,48,NA,738,NA,786,NA,97.5,NA,-1.6,NA
"690","20K192","P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY",346,56,298,299,114,21,115,20,89,13,28,2,117,15,33.8,26.8,-37.3,-51.5
"691","20K200","P.S. 200 BENSON SCHOOL",630,200,320,321,112,29,160,55,179,71,179,45,358,116,56.8,58,-29.7,-25.3
"692","20K201","J.H.S. 201 THE DYKER HEIGHTS",1182,NA,326,NA,145,NA,311,NA,332,NA,394,NA,726,NA,61.4,NA,-14.2,NA
"693","20K204","P.S. 204 VINCE LOMBARDI",549,175,325,325,79,32,123,34,158,46,189,63,347,109,63.2,62.3,-26.6,-24.2
"694","20K205","P.S. 205 CLARION",424,118,321,325,73,17,108,32,112,36,131,33,243,69,57.3,58.5,-24.8,-11.2
"695","20K220","J.H.S. 220 JOHN J. PERSHING",1284,NA,313,NA,263,NA,460,NA,308,NA,253,NA,561,NA,43.7,NA,-1.4,NA
"696","20K223","J.H.S. 223 THE MONTAUK",870,NA,315,NA,187,NA,277,NA,224,NA,182,NA,406,NA,46.7,NA,11,NA
"697","20K227","J.H.S. 227 EDWARD B. SHALLOW",1265,NA,310,NA,304,NA,446,NA,331,NA,184,NA,515,NA,40.7,NA,-13.4,NA
"698","20K229","P.S. 229 DYKER",689,161,333,339,75,16,130,19,182,52,302,74,484,126,70.2,78.3,-25.2,-12.1
"699","20K247","P.S. 247 BROOKLYN",380,126,333,343,25,8,72,12,133,45,150,61,283,106,74.5,84.1,-18.5,-8.2
"700","20K259","J.H.S. 259 WILLIAM MCKINLEY",1457,NA,329,NA,158,NA,373,NA,415,NA,511,NA,926,NA,63.6,NA,4.1,NA
